Year,Pick,Player,Team,Position,Salary,Owner
2021,4,Christian McCaffrey,Car,RB,$67 ,Owner1
2021,10,Dalvin Cook,Min,RB,$63 ,Owner2
2021,33,Alvin Kamara,NO,RB,$59 ,Owner3
2021,16,Ezekiel Elliott,Dal,RB,$58 ,Owner4
2021,22,Derrick Henry,Ten,RB,$56 ,Owner5
2021,3,Aaron Jones,GB,RB,$55 ,Owner6
2021,23,Davante Adams,LV,WR,$52 ,Owner7
2021,37,Nick Chubb,Cle,RB,$49 ,Owner8
2021,27,Tyreek Hill,Mia,WR,$49 ,Owner9
2021,11,Saquon Barkley,NYG,RB,$48 ,Owner10
2021,38,Austin Ekeler,LAC,RB,$47 ,Owner11
2021,6,DeAndre Hopkins,Ari,WR,$47 ,Owner2
2021,28,Calvin Ridley,Atl,WR,$45 ,Owner10
2021,8,Joe Mixon,Cin,RB,$41 ,Owner4
2021,34,Najee Harris,Pit,RB,$40 ,Owner7
2021,52,A.J. Brown,Phi,WR,$39 ,Owner12
2021,25,Travis Kelce,KC,TE,$39 ,Owner10
2021,49,Terry McLaurin,Was,WR,$37 ,Owner6
2021,30,Clyde Edwards-Helaire,KC,RB,$37 ,Owner7
2021,5,Patrick Mahomes,KC,QB,$35 ,Owner5
2021,40,Darren Waller,LV,TE,$33 ,Owner1
2021,51,J.K. Dobbins,Bal,RB,$33 ,Owner1
2021,41,CeeDee Lamb,Dal,WR,$33 ,Owner9
2021,177,Jonathan Taylor,Ind,RB,$31 ,Owner3
2021,9,Robert Woods,Ten,WR,$31 ,Owner8
2021,42,Cooper Kupp,LAR,WR,$31 ,Owner6
2021,54,Chris Godwin,TB,WR,$30 ,Owner5
2021,15,George Kittle,SF,TE,$30 ,Owner8
2021,26,Chris Carson,Sea,RB,$28 ,Owner9
2021,39,Darrell Henderson Jr.,LAR,RB,$28 ,Owner7
2021,53,Mike Evans,TB,WR,$27 ,Owner9
2021,20,Amari Cooper,Cle,WR,$26 ,Owner2
2021,176,Stefon Diggs,Buf,WR,$26 ,Owner4
