PLAYER_NAME,TEAM,POSITION,PLAYER_STATUS,GP*,BYE,FANTASY_POINTS,PRESEASON_RANKING,ACTUAL_RANKING,%_ROSTERED,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,RECEIVING_YDS,RECEIVING_TD,TARGETS,RET_TD,2PT_CONVERSIONS,FUMBLES_LOST
Patrick Mahomes,KC,QB,A,18,10,396.63,28,28,100%,5190,39.7,13.2,73.5,389,3.3,0,0,0,0,0,2.2,3.3
Josh Allen,Buf,QB,A,18,13,379.33,33,33,100%,4338,32.6,14.1,122,692,6.5,0,0,0,0,0,2.2,4.3
Jalen Hurts,Phi,QB,A,18,10,379.11,31,31,100%,3892,24.8,9.8,165,839,10.3,0,0,0,0,0,2.2,3.3
Lamar Jackson,Bal,QB,A,18,13,355.74,45,45,100%,3823,23.2,11.5,171,1047,5.4,0,0,0,0,0,2.1,4.2
Justin Fields,Chi,QB,A,18,13,353.56,57,57,99%,3637,22.0,13.6,187,1061,7.9,0,0,0,0,0,2.2,5.3
Joe Burrow,Cin,QB,A,18,7,350.62,50,50,100%,4833,36.1,14.2,46.7,242,3.2,0,0,0,0,0,2.2,3.3
Justin Herbert,LAC,QB,A,18,5,327.52,78,78,99%,4857,33.5,13.0,52,175,2.0,0,0,0,0,0,2.2,4.3
Dak Prescott,Dal,QB,A,18,7,323.25,86,86,97%,4531,31.8,13.7,66.4,273,3.2,0,0,0,0,0,1.1,3.4
Deshaun Watson,Cle,QB,A,18,5,317.83,87,87,95%,4039,27.7,11.7,86.2,458,4.2,0,0,0,0,0,2.1,3.2
Trevor Lawrence,Jax,QB,A,18,9,316.87,72,72,99%,4472,31.0,13.9,62.8,290,3.2,0,0,0,0,0,1.1,4.3
Ja'Marr Chase,Cin,WR,A,18,7,310.54,2,2,100%,0,0,0,9.2,49.4,0,118,1707,12.6,176,0,1.1,1.1
Tua Tagovailoa,Mia,QB,A,18,10,308.31,92,92,96%,4620,33.0,12.1,35.8,98.0,1.7,0,0,0,0,0,1.1,3.2
Justin Jefferson,Min,WR,A,18,13,303.41,3,3,100%,0,0,0,6.3,34.7,0,122,1759,10.5,183,0,1.1,1.1
Aaron Rodgers,NYJ,QB,A,18,7,296.77,117,117,93%,4345,29.9,9.7,19.7,139,2.2,0,0,0,0,0,1.1,3.2
Kirk Cousins,Min,QB,A,18,13,296.51,115,115,92%,4630,31.6,13.7,34.1,102,1.0,0,0,0,0,0,1.1,3.2
Christian McCaffrey,SF,RB,A,18,9,293.39,1,1,100%,0,0,0,237,1137,8.7,76.5,638,4.3,92.3,0,1.1,1.1
Russell Wilson,Den,QB,A,18,9,289.60,156,156,80%,4085,26.8,11.8,62.8,273,3.2,0,0,0,0,0,1.1,3.2
Daniel Jones,NYG,QB,A,18,13,285.55,93,93,90%,3689,21.4,11.7,104,568,4.2,0,0,0,0,0,1.1,4.3
Geno Smith,Sea,QB,A,18,5,284.15,112,112,90%,4162,29.7,12.8,46.6,182,2.1,0,0,0,0,0,1.1,4.2
Jared Goff,Det,QB,A,18,9,283.75,123,123,85%,4534,31.8,14.9,12.6,50.0,0.8,0,0,0,0,0,1.1,3.4
Trey Lance,SF,QB,A,18,9,282.77,212,212,38%,3202,20.2,11.4,100,574,6.9,0,0,0,0,0,1.4,2.6
Anthony Richardson,Ind,QB,NA,17,11,280.69,118,118,82%,3414,20.4,12.9,115,621,5.5,0,0,0,0,0,0,3.1
Austin Ekeler,LAC,RB,A,18,5,274.82,4,4,100%,0,0,0,205,915,8.3,91.3,665,4.3,111,0,0,2.1
Jordan Love,GB,QB,A,18,6,273.96,206,206,52%,3537,22.6,11.7,88.4,377,4.7,0,0,0,0,0,3.9,4.2
Matthew Stafford,LAR,QB,A,18,10,271.62,175,175,58%,4584,29.5,15.9,16.2,65.8,0.0,0,0,0,0,0,1.1,3.4
Saquon Barkley,NYG,RB,A,18,13,270.24,7,7,100%,0,0,0,296,1282,9.3,56.5,445,2.3,71.8,0,1.2,1.1
Stefon Diggs,Buf,WR,A,18,13,261.78,14,14,100%,0,0,0,2.2,13.4,0,117,1438,10.1,170,0,0,1.1
Derek Carr,NO,QB,A,18,11,261.48,167,167,67%,4214,27.6,13.2,14.3,68.5,1.1,0,0,0,0,0,1.1,3.3
Cooper Kupp,LAR,WR,Q,18,10,260.94,9,9,100%,0,0,0,4.2,23.9,0,122,1435,9.4,176,0,0,1.0
Kenny Pickett,Pit,QB,A,18,6,258.79,189,189,41%,3892,22.5,14.8,62.8,289,3.0,0,0,0,0,0,1.1,3.4
Davante Adams,LV,WR,A,18,13,257.04,13,13,100%,0,0,0,1.1,5.3,0,109,1381,10.7,176,0,1.1,1.1
Bryce Young,Car,QB,NA,17,7,256.64,276,276,25%,3770,22.4,14.3,66.3,329,3.0,0,0,0,0,0,1.0,4.1
Travis Kelce,KC,TE,A,18,10,256.54,8,8,100%,0,0,0,0,0,0,112,1345,11.0,154,0,0,0
Sam Howell,Was,QB,A,18,14,255.89,216,216,15%,3886,23.3,13.8,63.4,262,3.0,0,0,0,0,0,0,4.6
Nick Chubb,Cle,RB,A,18,5,254.62,11,11,100%,0,0,0,298,1489,11.7,23.2,181,1.0,28.8,0,1.1,1.1
Jonathan Taylor,Ind,RB,Q,18,11,253.26,5,5,100%,0,0,0,292,1268,10.4,40.7,335,2.1,52.4,0,1.0,2.1
Ryan Tannehill,Ten,QB,A,18,7,250.20,213,213,12%,3758,23.2,11.4,54.6,194,2.2,0,0,0,0,0,1.2,2.5
A.J. Brown,Phi,WR,A,18,10,248.53,19,19,100%,0,0,0,8.3,47.4,0,92.6,1418,9.3,144,0,1.0,1.0
CeeDee Lamb,Dal,WR,Q,18,7,248.49,15,15,100%,0,0,0,13.9,75.8,0,103,1341,9.6,142,0,0,1.1
Jimmy Garoppolo,LV,QB,Q,18,13,245.61,245,245,17%,4252,26.2,15.3,7.5,23.2,1.0,0,0,0,0,0,1.2,4.7
C.J. Stroud,Hou,QB,NA,17,7,244.93,304,304,16%,3559,20.7,13.5,88,329,3.4,0,0,0,0,0,1.0,4.2
Derrick Henry,Ten,RB,A,18,7,244.92,17,17,100%,0,0,0,309,1333,12.4,25.5,187,1.0,34.4,0,1.0,1.0
Mac Jones,NE,QB,A,18,11,242.63,290,290,16%,4042,24.8,16.2,39.5,130,1.0,0,0,0,0,0,1.2,3.7
