PLAYER_NAME,TEAM,POSITION,LEAGUE_VALUE,PROJ_VALUE,AVG_COST,PREVIOUS_OWNER
Christian McCaffrey,Car,RB,$64 ,$64 ,$73.00 ,FA
Dalvin Cook,Min,RB,$57 ,$57 ,$65.70 ,FA
Ezekiel Elliott,Dal,RB,$55 ,$55 ,$59.30 ,FA
Derrick Henry,Ten,RB,$55 ,$55 ,$68.20 ,FA
Alvin Kamara,NO,RB,$55 ,$55 ,$62.70 ,FA
Nick Chubb,Cle,RB,$54 ,$54 ,$57.40 ,FA
Aaron Jones,GB,RB,$54 ,$54 ,$54.00 ,FA
Saquon Barkley,NYG,RB,$53 ,$53 ,$58.40 ,FA
Tyreek Hill,KC,WR,$52 ,$52 ,$56.20 ,FA
Davante Adams,GB,WR,$52 ,$52 ,$52.70 ,FA
Stefon Diggs,Buf,WR,$50 ,$50 ,$52.40 ,FA
Travis Kelce,KC,TE,$48 ,$48 ,$51.80 ,FA
Jonathan Taylor,Ind,RB,$48 ,$48 ,$56.00 ,FA
Najee Harris,Pit,RB,$46 ,$46 ,$38.80 ,FA
Austin Ekeler,LAC,RB,$46 ,$46 ,$46.40 ,FA
Calvin Ridley,Atl,WR,$43 ,$43 ,$37.00 ,FA
DeAndre Hopkins,Ari,WR,$43 ,$43 ,$42.60 ,FA
Antonio Gibson,Was,RB,$43 ,$43 ,$42.90 ,FA
Justin Jefferson,Min,WR,$40 ,$40 ,$36.70 ,FA
A.J. Brown,Ten,WR,$38 ,$38 ,$37.00 ,FA
Joe Mixon,Cin,RB,$36 ,$36 ,$38.50 ,FA
Clyde Edwards-Helaire,KC,RB,$36 ,$36 ,$34.30 ,FA
DK Metcalf,Sea,WR,$36 ,$36 ,$37.40 ,FA
Darren Waller,LV,TE,$36 ,$36 ,$24.80 ,FA
Allen Robinson II,Chi,WR,$36 ,$36 ,$25.70 ,FA
Terry McLaurin,Was,WR,$36 ,$36 ,$26.60 ,FA
Keenan Allen,LAC,WR,$36 ,$36 ,$25.40 ,FA
CeeDee Lamb,Dal,WR,$36 ,$36 ,$17.80 ,FA
David Montgomery,Chi,RB,$36 ,$36 ,$23.10 ,FA
Chris Carson,Sea,RB,$35 ,$35 ,$22.60 ,FA
Patrick Mahomes,KC,QB,$35 ,$35 ,$36.00 ,FA
J.K. Dobbins,Bal,RB,$33 ,$33 ,$31.40 ,FA
Chris Godwin,TB,WR,$33 ,$33 ,$17.30 ,FA
Mike Evans,TB,WR,$30 ,$30 ,$19.40 ,FA
George Kittle,SF,TE,$30 ,$30 ,$28.50 ,FA
Darrell Henderson Jr.,LAR,RB,$29 ,$29 ,$16.80 ,FA
Cooper Kupp,LAR,WR,$28 ,$28 ,$9.70 ,FA
Robert Woods,LAR,WR,$27 ,$27 ,$12.00 ,FA
Miles Sanders,Phi,RB,$25 ,$25 ,$24.30 ,FA
Amari Cooper,Dal,WR,$24 ,$24 ,$14.40 ,FA
D'Andre Swift,Det,RB,$24 ,$24 ,$22.40 ,FA
Josh Allen,Buf,QB,$23 ,$23 ,$21.50 ,FA
Lamar Jackson,Bal,QB,$23 ,$23 ,$13.30 ,FA
DJ Moore,Car,WR,$23 ,$23 ,$9.40 ,FA
Josh Jacobs,LV,RB,$23 ,$23 ,$16.00 ,FA
Tyler Lockett,Sea,WR,$23 ,$23 ,$7.90 ,FA
Julio Jones,Ten,WR,$23 ,$23 ,$14.50 ,FA
T.J. Hockenson,Det,TE,$23 ,$23 ,$10.30 ,FA
Brandon Aiyuk,SF,WR,$22 ,$22 ,$5.60 ,FA
Travis Etienne,Jax,RB,$22 ,$22 ,$7.20 ,FA
Adam Thielen,Min,WR,$22 ,$22 ,$9.30 ,FA
Myles Gaskin,Mia,RB,$22 ,$22 ,$10.30 ,FA
Kyle Pitts,Atl,TE,$22 ,$22 ,$10.40 ,FA
Kareem Hunt,Cle,RB,$22 ,$22 ,$8.60 ,FA
Dak Prescott,Dal,QB,$21 ,$21 ,$8.60 ,FA
Mike Davis,Atl,RB,$18 ,$18 ,$7.30 ,FA
Mark Andrews,Bal,TE,$18 ,$18 ,$9.60 ,FA
Kyler Murray,Ari,QB,$18 ,$18 ,$12.10 ,FA
Damien Harris,NE,RB,$18 ,$18 ,$4.70 ,FA
Diontae Johnson,Pit,WR,$18 ,$18 ,$5.80 ,FA
Tee Higgins,Cin,WR,$18 ,$18 ,$3.40 ,FA
Ja'Marr Chase,Cin,WR,$16 ,$16 ,$3.50 ,FA
Trey Sermon,SF,RB,$16 ,$16 ,$3.60 ,FA
Robby Anderson,Car,WR,$16 ,$16 ,$2.60 ,FA
Russell Wilson,Sea,QB,$16 ,$16 ,$6.90 ,FA
Odell Beckham Jr.,Cle,WR,$14 ,$14 ,$4.80 ,FA
Chase Edmonds,Ari,RB,$14 ,$14 ,$7.40 ,FA
Kenny Golladay,NYG,WR,$14 ,$14 ,$5.40 ,FA
